Bark Lake ,Baskatong ,Cabonga ,Carillon et Hull ,Chelsea ,Chenaux et Noire ,Chute-des-Chats ,Des Joachims ,Dozois ,High Falls ,Kamaniskeg ,Kiamika ,Kipawa ,Lac Temiscamingue a Angliers ,Lac Victoria et lac Granet ,Lac des Quinze ,Lac du poisson blanc ,Lady Evelyn ,Lower Notch et Indian Chute ,Madawaska-Arnprior ,Maniwaki ,Masson ,Mistinikon ,Mitchinamecus ,Mont-Laurier ,Mountain Chute ,Otto Holden ,Paugan ,Rabbit Lake ,Rapide 2 ,Rapide 7 ,Riviere Blanche ,Riviere Bonnechere ,Riviere Coulonge ,Riviere Dumoine ,Riviere Kinojevis ,Riviere Mattawa ,Riviere Mississippi ,Riviere Petawawa ,Riviere Petite Nation ,Riviere Rideau ,Riviere Rouge ,Riviere South Nation
19.222,103.37,23.391,57.975,5.6606,42.076,8.041,20.057,64.065,8.459,21.909,8.767,31.428,22.735,8.0414,38.177,18.646,4.3549,15.166,6.1116,20.384,5.758,7.5056,7.9649,46.379,9.2422,8.5437,14.201,1.8467,3.0725,11.767,8.199,15.184,40.078,31.644,18.333,11.137,12.754,28.833,14.552,12.848,62.905,10.048
19.894,102.24,23.234,65.354,6.0154,40.749,7.934,19.96,63.375,8.332,23.294,8.599,31.279,22.308,8.1246,37.945,18.771,4.3158,15.021,6.5548,20.037,5.683,7.4781,8.1027,45.174,9.8897,8.8148,13.988,1.8749,3.038,12.29,8.105,15.98,39.628,31.262,18.019,11.388,12.534,28.429,14.182,12.614,61.773,9.568
29.309,107.07,27.161,89.106,6.9277,42.455,11.028,20.651,64.108,8.896,29.535,8.538,31.22,21.924,9.5401,37.763,21.374,4.2781,14.879,7.5932,41.367,6.295,7.4512,12.559,57.209,11.376,9.7424,20.759,1.9673,3.0033,14.902,8.029,25.281,40.637,30.976,17.762,17.441,16.874,30.252,15.775,25.416,63.829,89.711
47.582,155.26,29.281,131.47,8.2459,62.179,14.627,22.481,65.231,11.956,42.864,10.21,31.587,21.591,11.246,37.614,29.958,4.248,14.758,9.0789,70.146,8.366,7.4262,29.125,104.7,12.916,10.447,32.155,2.0699,2.9732,17.012,7.976,34.826,44.942,30.73,17.535,23.984,27.046,33.454,27.354,47.341,85.849,290.27
57.207,173,34,145.37,9.4093,78.581,15.713,24.881,66.578,14.84,55.078,12.011,33.266,21.279,12.173,37.471,34.813,4.2272,14.642,10.541,83.767,10.119,7.4031,21.325,148.64,13.819,10.687,39.3,2.1955,2.9451,18.038,7.925,37.817,52,30.458,17.313,26.04,35,15,40.406,42,128,192
56.617,182,23,138.52,10.139,93.787,14.902,27.188,68.069,15.704,59.341,13.324,33.973,20.984,12.428,37.332,36.372,4.2365,14.529,11.685,82.686,10.583,7.3812,19.971,160.61,14.116,10.795,41.29,2.3282,2.9181,18.348,7.876,35.754,52,30.226,17.096,25.553,36,16,43.08,48,128,93
53.273,247,18,125.8,10.54,108.64,13.551,29.148,69.325,15.631,58.04,14.111,30.674,20.706,12.337,37.195,36.688,4.2838,14.419,12.454,76.737,10.389,7.3611,18.043,155.66,14.109,11.016,41.067,2.4226,2.8931,18.258,7.829,31.825,52,30.111,16.884,25.019,35,16,39.807,62,128,62
50.542,191,18,114.08,10.777,120.38,12.411,30.705,70.094,15.563,55.8,14.252,30.914,20.444,12.123,37.061,36.794,4.3417,14.311,12.907,70.599,10.01,7.342,16.958,144.13,14.029,11.308,40.078,2.4603,2.8691,17.953,7.783,27.998,48,30.068,16.676,25.076,34,15,34.326,62,128,49
48.827,186,17,104.53,10.921,127.4,11.72,31.864,70.331,15.549,55.535,13.901,36.334,20.196,11.893,36.929,36.956,4.3788,14.207,13.151,64.938,9.557,7.3231,15.044,129.75,14.003,11.525,38.619,2.4513,2.8461,17.54,7.738,25.138,48,29.993,16.472,25.099,37,15,29.22,52,128,42
49.178,146,26,96.838,10.981,129.86,12.163,32.641,70.13,15.347,57.92,13.318,39.548,19.964,11.678,36.801,37.133,4.3841,14.105,13.325,59.576,9.058,7.3054,14.004,114.92,14.173,11.59,36.806,2.4146,2.8251,17.087,7.695,24.532,44,29.832,16.274,25.298,38,15,26.017,62,128,35
49.251,117,35,90.743,10.956,128.94,12.697,33.061,69.63,14.902,61.367,12.69,40.841,19.759,11.479,36.676,37.238,4.3636,14.013,13.53,54.643,8.573,7.291,13.046,101.65,14.607,11.513,34.84,2.3658,2.8051,16.633,7.668,24.62,40,29.601,16.082,25.114,40,15,25.403,58,128,28
50.199,147,42,86.185,10.873,125.79,12.936,33.118,68.937,14.395,65.245,12.109,45.893,19.566,11.274,36.551,37.309,4.3275,13.924,13.879,50.373,8.211,7.277,13.002,90.879,15.535,11.337,33.227,2.3136,2.786,16.184,7.641,25.838,40,29.321,15.893,24.118,38,15,27.187,58,128,25
68.622,70,33,83.337,10.792,121.25,18.551,32.752,68.021,14.116,74.324,12.111,49.481,19.386,10.939,36.428,38.008,4.2849,13.837,14.568,45.297,8.093,7.2631,13.002,80.907,17.597,11.099,32.363,2.2617,2.7671,15.693,7.615,43.73,37,29.012,15.708,27.439,36,16,30.85,60,128,24
82.407,207,38,83.057,10.756,115.33,22.227,31.885,67.096,13.717,83.933,12.084,56.351,19.217,10.685,36.306,37.998,4.2422,13.752,15.322,44.738,8.068,7.25,13.044,71.169,19.854,10.88,32.604,2.2149,2.75,15.328,7.589,59.864,37,28.702,15.526,32.828,46,16,37.843,90,128,24
84.502,178,32,82.224,10.72,109.84,22.144,30.718,66.216,13.62,87.679,12.275,49.127,19.058,10.455,36.185,37.235,4.2018,13.669,15.85,44.123,8.184,7.237,13.958,69.242,21.156,10.675,32.737,2.172,2.7331,15.011,7.564,63.004,37,28.396,15.348,34.416,45,17,44.203,157,128,58
81.44,143,28,80.648,10.654,104.71,20.367,29.522,65.379,13.511,86.228,12.401,47.366,18.91,10.242,36.065,36.343,4.1646,13.587,16.069,43.178,8.194,7.224,14.044,67.446,21.577,10.483,32.611,2.1325,2.717,14.723,7.539,58.383,37,28.095,15.174,33.373,45,18,44.612,151,101,73
78.296,129,15,79.167,10.593,99.916,18.353,28.373,64.58,13.556,83.445,12.336,42.118,18.77,10.044,35.945,35.458,4.1305,13.507,16.026,42.327,8.201,7.211,15.002,65.955,21.584,10.3,32.423,2.0959,2.7011,14.458,7.514,51.583,37,27.798,15.003,31.743,52,19,41.883,184,101,67
75.986,124,11,77.964,10.553,95.441,16.742,27.288,63.816,13.685,82.259,12.086,40.996,18.638,9.8579,35.823,34.589,4.0992,13.427,15.804,41.482,8.2,7.1979,15.998,64.574,21.456,10.129,32.056,2.062,2.6869,14.214,7.488,45.499,37,27.504,14.834,30.415,43,19,38.001,158,101,60
73.874,187,10,76.8,10.516,91.259,15.671,26.268,63.086,13.733,83,11.738,34.575,18.513,9.6847,35.7,33.717,4.0702,13.348,15.49,40.5,8.147,7.184,16.956,63.057,21.231,9.9687,31.433,2.0307,2.6721,13.988,7.462,41.049,34,27.213,14.666,29.225,49,19,34.377,158,101,58
71.382,153,13,75.524,10.454,87.334,15.013,25.308,62.385,13.627,84.179,11.364,35.534,18.395,9.5226,35.575,32.824,4.0433,13.269,15.17,39.386,8.037,7.1698,17.042,61.369,20.879,9.8223,30.6,2.0019,2.658,13.778,7.435,38.104,34,26.924,14.499,27.802,46,19,31.915,177,101,44
68.602,147,15,74.174,10.353,83.647,14.589,24.406,61.711,13.396,84.38,11.005,42.494,18.282,9.3715,35.447,31.904,4.0188,13.19,14.946,38.221,7.895,7.1541,17.956,59.609,20.425,9.6983,29.656,1.9757,2.644,13.585,7.407,36.376,31,26.635,14.334,26.347,42,18,31.107,177,101,35
65.557,126,22,72.894,10.225,80.185,14.368,23.556,61.065,13.09,82.877,10.678,48.784,18.174,9.2309,35.317,30.952,3.996,13.111,14.968,37.084,7.737,7.1388,17.998,57.875,19.925,9.6209,28.649,1.9519,2.6301,13.407,7.378,35.333,31,26.349,14.169,24.893,42,19,31.915,151,101,31
61.712,167,28,71.926,10.102,76.941,13.897,22.758,60.444,12.732,79.342,10.336,53.465,18.073,9.103,35.185,29.935,3.9749,13.033,15.333,35.807,7.564,7.122,18.002,56.198,19.477,9.6535,27.514,1.9321,2.617,13.251,7.348,33.578,29,26.066,14.007,22.806,44,21,33.69,133,101,29
59.234,142,29,71.79,10.068,73.896,13.632,22.007,59.845,12.436,75.999,10.087,57.437,17.975,9.0156,35.051,28.73,3.9554,12.956,16.056,34.878,7.437,7.1053,18.044,54.6,19.45,9.9629,26.701,1.9182,2.6041,13.144,7.318,33.116,29,25.785,13.846,21.857,43,22,34.563,129,101,26
58.943,84,34,73.951,10.255,71.04,14.871,21.304,59.806,12.159,74.688,9.856,60.664,17.883,9.2085,34.945,27.577,3.9386,12.89,17.161,34.21,7.331,7.091,18.956,53.158,20.119,10.989,25.946,1.9157,2.5932,13.203,7.295,35.914,29,25.715,13.704,27.95,50,22,33.104,122,101,25
60.759,133,42,82.206,10.857,69.786,18.747,20.655,60.087,12.212,78.06,9.65,62.122,17.814,9.5397,34.847,26.54,3.9228,12.827,18.798,36.377,7.683,7.0768,18.998,60.901,21.928,11.761,28.85,1.925,2.585,13.328,7.28,38.745,34,25.748,13.587,35.06,56,25,39.046,225,101,177
61.175,85,30,84.864,11.551,69.078,20.723,20.046,60.765,12.329,82.05,9.471,55.799,17.749,9.7945,34.746,25.661,3.9086,12.764,20.563,38.922,8.103,7.061,19,69.996,23.862,12.009,32.34,1.9528,2.577,13.501,7.264,39.363,34,25.636,13.469,36.855,58,25,47.242,228,101,249
59.893,300,24,83.05,11.966,70.012,20.252,19.473,61.686,12.23,82.049,9.337,55.828,17.687,9.9513,34.642,24.884,3.8956,12.701,22.014,39.579,8.192,7.0451,18.998,72.53,25.024,12.089,33.431,1.9898,2.569,13.673,7.246,38.179,34,25.549,13.352,35.136,58,25,48.457,180,101,267
58.837,362,20,80.058,12.09,72.022,19.298,18.935,62.507,12.077,79.639,9.23,55.629,17.629,10.036,34.54,24.174,3.8835,12.641,22.967,39.426,8.115,7.0299,18.956,71.234,25.725,12.277,33.224,2.0179,2.5611,13.789,7.228,36.439,34,25.691,13.236,32.738,57,26,45.594,151,101,126
58.326,207,17,77.402,12.044,73.797,18.158,18.426,63.008,12.036,77.378,9.118,54.94,17.574,10.072,34.437,23.506,3.8725,12.581,23.402,39.178,8.023,7.0138,18.042,68.529,26.201,12.54,32.631,2.0289,2.5539,13.827,7.21,34.809,31,25.988,13.122,30.888,58,26,41.134,115,101,104
